name,category_code,tag_list,description,total_money_raised,offices,currency,city,country_code
PlayFirst,games_video,"mobile-games, iphone-games, ipad-games, casual-games, diner-dash, chocolatier, dream-chronicles, wedding-dash, dinertown-zoo",Mobile games,377.0,"[{'description': 'HQ', 'address1': '160 Spear St', 'address2': 'Suite 1300', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.790346, 'longitude': -122.40185}, {'description': 'Ireland office', 'address1': '', 'address2': '', 'zip_code': '', 'city': '', 'state_code': None, 'country_code': 'IRL', 'latitude': None, 'longitude': None}]",$,"San Francisco , ,",USA IRL 
eRepublik,games_video,"erepublik, alexis-bonte, mmog, mmogs, games, online-games, virtual-worlds, strategy, social-network, ugc",Online social strategy game,330.0,"[{'description': 'Office', 'address1': 'Almagro 22', 'address2': '', 'zip_code': '28010', 'city': 'Madrid', 'state_code': None, 'country_code': 'ESP', 'latitude': 40.43094, 'longitude': -3.6952896}, {'description': 'Office', 'address1': 'Unit 13, The Seapoint Building', 'address2': '44/45 Clontarf Road', 'zip_code': 'D3', 'city': 'Dublin', 'state_code': None, 'country_code': 'IRL', 'latitude': None, 'longitude': None}, {'description': 'Office', 'address1': 'Calea Plevnei nr.53, etaj 4', 'address2': 'Sector 1', 'zip_code': '010223', 'city': 'Bucuresti', 'state_code': None, 'country_code': 'ROM', 'latitude': None, 'longitude': None}]",€,"Madrid ,Dublin ,Bucuresti ,",ESP IRL ROM 
Smule,music,"mobile, iphone, interactive, sonic-media, sonic, audio",iPhone apps and games,255.0,"[{'description': 'Smule HQ', 'address1': '139 Townsend Street', 'address2': 'Suite 200', 'zip_code': '94107', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.779624, 'longitude': -122.391236}]",$,"San Francisco ,",USA 
Outspark,games_video,,Video game publishing,233.0,"[{'description': None, 'address1': None, 'address2': None, 'zip_code': None, 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.775196, 'longitude': -122.419204}]",$,"San Francisco ,",USA 
Unkasoft Advergaming,mobile,"advergaming, mobile, technology, mobile-marketing, in-game-advertising, in-app-advertising, hardware-enabling, software-injection, software-customization",Mobile Marketing & Advergaming,210.0,"[{'description': 'Madrid Office (marketing)', 'address1': 'Nieremberg 8, Bajo A', 'address2': '', 'zip_code': '28002', 'city': 'Madrid', 'state_code': None, 'country_code': 'ESP', 'latitude': 40.4474363, 'longitude': -3.6714915}, {'description': 'London Office (sales)', 'address1': 'The Arc City 89', 'address2': 'Worship Street', 'zip_code': 'EC2A 2BF', 'city': 'London', 'state_code': None, 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'description': 'Salamanca Office', 'address1': 'Parque Cientifico M2, camino gudino sn', 'address2': '', 'zip_code': '37185', 'city': 'Villamayor', 'state_code': None, 'country_code': 'ESP', 'latitude': 41.0016627, 'longitude': -5.6937933}]",€,"Madrid ,London ,Villamayor ,",ESP GBR ESP 
Social Gaming Network,games_video,"social, gaming, sgn",social gaming platform,171.0,"[{'description': 'HQ Los Angeles', 'address1': '9570 W. Pico Blvd 3rd Floor', 'address2': '', 'zip_code': '90035', 'city': 'Los Angeles', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.446823, 'longitude': -122.161523}, {'description': '', 'address1': '9606 S. Santa Monica Blvd', 'address2': '2nd Floor', 'zip_code': '90210', 'city': 'Beverly Hills', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 34.0698494, 'longitude': -118.4054182}]",$,"Los Angeles ,Beverly Hills ,",USA USA 
OMGPOP,games_video,"dating, gaming, auction",Free online multiplayer game ,166.0,"[{'description': '', 'address1': 'SoHo', 'address2': '', 'zip_code': '', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': 40.723384, 'longitude': -74.001704}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Austin', 'state_code': 'TX', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",$,"New York ,Austin ,",USA USA 
WeeWorld,web,"social-game, virtual-world, games, avatar",Social game/virtual world for teens ,155.0,"[{'description': 'North American HQ', 'address1': '45 Walden Street', 'address2': 'Unit 1G3', 'zip_code': '01742', 'city': 'Concord', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.4588999, 'longitude': -71.3495213}, {'description': 'UK Headquarters', 'address1': '19 Blythswood Square', 'address2': '', 'zip_code': 'G2 4BG', 'city': 'Glasgow', 'state_code': None, 'country_code': 'GBR', 'latitude': 55.8631705, 'longitude': -4.2635168}]",$,"Concord ,Glasgow ,",USA GBR 
Challenge Games,network_hosting,"social-games, facebook-games, role-playing-game, social-network, turn-based-game, fantasy-sports, trading-card-game, baseball, free-to-play, online-game, rpg, ccg, tcg, mmo, football-games",Online social games,145.0,"[{'description': 'Challenge Games', 'address1': '211 E 7th St', 'address2': 'Suite 400', 'zip_code': '78701', 'city': 'Austin', 'state_code': 'TX', 'country_code': 'USA', 'latitude': 30.268236, 'longitude': -97.740651}]",$,"Austin ,",USA 
MocoSpace,games_video,mobile-social-networking,Largest mobile games community in N Amer,105.0,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '02111', 'city': 'Boston', 'state_code': 'MA', 'country_code': 'USA', 'latitude': 42.350274, 'longitude': -71.058768}]",$,"Boston ,",USA 
TwoFish,ecommerce,,managing microtransactions w/i games,95.0,"[{'description': None, 'address1': '333 Twin Dolphin Drive Suite 340', 'address2': '', 'zip_code': '94065', 'city': 'Redwood City', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.522281, 'longitude': -122.258139}]",$,"Redwood City ,",USA 
WildTangent,games_video,"games, online-games, video-games, online-advertising",cross-device games company,84.0,"[{'description': 'Global Headquarters', 'address1': '18578 NE 67th Ct', 'address2': 'Building 5', 'zip_code': '98052', 'city': 'Redmond', 'state_code': 'WA', 'country_code': 'USA', 'latitude': 37.09024, 'longitude': -95.712891}]",$,"Redmond ,",USA 
GAMEVIL,games_video,,Mobile games publisher and developer,80.0,"[{'description': '', 'address1': '4th FL. Samsung IT Valley 197-5', 'address2': 'Guro 3dong, Guro gu', 'zip_code': '152-848', 'city': 'Seoul', 'state_code': None, 'country_code': 'KOR', 'latitude': None, 'longitude': None}]",$,"Seoul ,",KOR 
Vollee,games_video,,video gaming to 3G mobile ,75.0,"[{'description': 'HQ', 'address1': '1 Hachoshlim Street', 'address2': 'Meir House 2F', 'zip_code': '46733', 'city': 'Hertzilya', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}]",$,"Hertzilya ,",ISR 
Vollee,games_video,,video gaming to 3G mobile ,75.0,"[{'description': 'HQ', 'address1': '1 Hachoshlim Street', 'address2': 'Meir House 2F', 'zip_code': '46733', 'city': 'Hertzilya', 'state_code': None, 'country_code': 'ISR', 'latitude': None, 'longitude': None}]",$,"Hertzilya ,",ISR 
Double Fusion,web,,"round-game, and web-based solutions",59.0,"[{'description': 'HQ', 'address1': '300 Beale Street,', 'address2': 'Suite D', 'zip_code': '94105', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.7887135, 'longitude': -122.3927145}]",$,"San Francisco ,",USA 
RocketOn,web,,Multiplayer social games,58.0,"[{'description': None, 'address1': '', 'address2': '', 'zip_code': '', 'city': 'South San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.65466, 'longitude': -122.40788}]",$,"South San Francisco ,",USA 
IGG,games_video,"virtual-world, gaming, games, mmorp",multiplayer gaming,45.0,[],$,,
