name,category_code,tag_list,description,total_money_raised,offices,city,state_code
Minted,ecommerce,"crowd-sourcing, design, art, stationery, ecommerce",marketplace for design and art,$52.7M,"[{'description': '', 'address1': '747 Front Street', 'address2': '2nd Floor', 'zip_code': '94111', 'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.797435, 'longitude': -122.403175}]","San Francisco ,","CA ,"
Squarespace,web,"software, web-design, website-creation-platform, cms, blog, content-management",Fully-hosted website creator,$38.5M,"[{'description': 'Squarespace', 'address1': '459 Broadway', 'address2': '5th Floor', 'zip_code': '10013', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","New York ,","NY ,"
Azuro,semiconductor,"chip-design, semiconductor, eda",Digital Semiconductor Design,$10M,"[{'description': 'HQ', 'address1': '5201 Great America Parkway', 'address2': 'Suite 432', 'zip_code': '95054', 'city': 'Santa Clara', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.406217, 'longitude': -121.976473}]","Santa Clara ,","CA ,"
NextG Networks,mobile,"wireless, network, network-architecture, distributed-antenna-system, network-design",Mobile Antennae Systems,$410M,"[{'description': 'Corporate headquarters', 'address1': '890 Tasman Drive', 'address2': '', 'zip_code': '95035', 'city': 'Milpitas', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.3968078, 'longitude': -121.9113633}]","Milpitas ,","CA ,"
Extreme Enterprises,enterprise,"internet, web-services, software, media, graphic-design, social-networking, shopping-portal, professional-networking",Parent Company,$1.46M,"[{'description': 'EEI Headquarters', 'address1': '7019 1st Ave South', 'address2': 'Suite #2', 'zip_code': '33707', 'city': 'St Petersburg', 'state_code': 'FL', 'country_code': 'USA', 'latitude': 27.770221, 'longitude': -82.735899}]","St Petersburg ,","FL ,"
Carrier IQ,mobile,"wireless, network, network-architecture, distributed-antenna-system, network-design",Mobile intelligence solutions,$42M,"[{'description': '', 'address1': '1200 Villa Street', 'address2': '', 'zip_code': '94041', 'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'USA', 'latitude': 37.3955775, 'longitude': -122.0833286}]","Mountain View ,","CA ,"
Banyan Branch,news,"social-media, consulting, twitter, facebook, monitoring, viral-design, viral",Social media marketing agency,$1.7M,"[{'description': 'Seattle office', 'address1': '2030 1st Ave, 3rd Floor', 'address2': '', 'zip_code': '98121', 'city': 'Seattle', 'state_code': 'WA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'New York office', 'address1': '455 Broadway, 3rd Floor', 'address2': '', 'zip_code': '10013', 'city': 'New York', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'Los Angeles office', 'address1': '1671 Appian Way', 'address2': '', 'zip_code': '90401', 'city': 'Santa Monica', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Seattle ,New York ,Santa Monica ,","WA ,NY ,CA ,"
ExteNet Systems,network_hosting,"wireless, network, network-architecture, distributed-antenna-system, network-design",Wireless Network Infrastructure,$156M,"[{'description': 'Corporate Office', 'address1': '3030 Warrenville Road', 'address2': 'Suite 340', 'zip_code': '60532', 'city': 'Lisle', 'state_code': 'IL', 'country_code': 'USA', 'latitude': 41.8089007, 'longitude': -88.1132884}]","Lisle ,","IL ,"
Kickstarter,design,"crowdfunding, funding, entrepreneurship, crowdsourcing",Creative project funding.,$10M,"[{'description': '', 'address1': '58 Kent St', 'address2': '', 'zip_code': '11222', 'city': 'Brooklyn', 'state_code': 'NY', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Brooklyn ,","NY ,"
Talenthouse,web,"artists, creative, community, social-media, engagement, platform, peer-to-peer, design, film, fashion, music, art, photography, collaboration, content-marketing, marketing, advertising, influencers, sponsored-engagement-engine, see",Content Marketing Platform,$15.1M,"[{'description': 'Headquarters', 'address1': '542 High St', 'address2': '', 'zip_code': '94301', 'city': 'Palo Alto', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': 'Talenthouse - LA', 'address1': '8810 Melrose Ave', 'address2': '', 'zip_code': '90065', 'city': 'West Hollywood', 'state_code': 'CA', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Palo Alto ,West Hollywood ,","CA ,CA ,"
Personal,mobile,"personal-data, privacy-by-design, security, data-vault, form-filling",,$21.1M,"[{'description': '', 'address1': '1010 Wisconsin Ave. NW', 'address2': 'First Floor', 'zip_code': '20007', 'city': 'Washington', 'state_code': 'DC', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Washington ,","DC ,"
Coskata,cleantech,"renewable-energy-company, liquid-fuels, ethanol, transformative-bioreactor-designs",biology based renewable energy,$86.2M,"[{'description': 'Headquarters', 'address1': '4575 Weaver Parkway, Suite 100', 'address2': '', 'zip_code': '60555', 'city': 'Warrenville', 'state_code': 'IL', 'country_code': 'USA', 'latitude': 41.8035954, 'longitude': -88.159371}]","Warrenville ,","IL ,"
Treehouse,education,"online-education, education, programming, web-development, web-design, learning, e-learning",An interactive education platform,$19.4M,"[{'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Orlando', 'state_code': 'FL', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'description': '', 'address1': '', 'address2': '', 'zip_code': '', 'city': 'Portland', 'state_code': 'OR', 'country_code': 'USA', 'latitude': None, 'longitude': None}]","Orlando ,Portland ,","FL ,OR ,"
